Geography,Name,Level,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
QN 07,Flushing/Whitestone,Community District,"$1,630","$1,610","$1,600","$1,650","$1,710","$1,670","$1,640","$1,640","$1,630","$1,690","$1,780","$1,710","$1,720","$1,740","$1,690","$1,770"
QN 08,Hillcrest/Fresh Meadows,Community District,"$1,490","$1,430","$1,510","$1,590","$1,520","$1,540","$1,590","$1,580","$1,610","$1,740","$1,790","$1,700","$1,720","$1,730","$1,640","$1,760"
QN 09,Kew Gardens/Woodhaven,Community District,"$1,560","$1,520","$1,530","$1,570","$1,570","$1,580","$1,640","$1,640","$1,670","$1,710","$1,730","$1,710","$1,840","$1,830","$1,830","$1,850"
QN 10,South Ozone Park/Howard Beach,Community District,"$1,630","$1,590","$1,620","$1,570","$1,660","$1,610","$1,600","$1,590","$1,660","$1,690","$1,700","$1,810","$1,930","$1,930","$1,910","$1,960"
QN 11,Bayside/Little Neck,Community District,"$1,680","$1,670","$1,810","$1,850","$1,820","$1,960","$1,900","$1,870","$1,920","$1,980","$1,910","$2,090","$2,200","$2,100","$2,100","$2,230"
QN 12,Jamaica/Hollis,Community District,"$1,310","$1,310","$1,320","$1,390","$1,420","$1,400","$1,410","$1,440","$1,440","$1,450","$1,470","$1,510","$1,510","$1,500","$1,470","$1,590"
QN 13,Queens Village,Community District,"$1,700","$1,710","$1,650","$1,720","$1,750","$1,820","$1,700","$1,700","$1,790","$1,800","$1,780","$1,850","$1,810","$1,950","$1,970","$1,850"
QN 14,Rockaway/Broad Channel,Community District,"$1,140","$1,070","$1,200","$1,200","$1,170","$1,230","$1,190","$1,280","$1,210","$1,340","$1,230","$1,360","$1,400","$1,380","$1,430","$1,450"
SI 01,St. George/Stapleton,Community District,"$1,330","$1,420","$1,410","$1,330","$1,470","$1,370","$1,320","$1,290","$1,330","$1,400","$1,440","$1,380","$1,400","$1,350","$1,370","$1,490"
SI 02,South Beach/Willowbrook,Community District,"$1,450","$1,500","$1,380","$1,500","$1,360","$1,390","$1,320","$1,530","$1,370","$1,560","$1,540","$1,630","$1,470","$1,530","$1,530","$1,650"
SI 03,Tottenville/Great Kills,Community District,"$1,460","$1,520","$1,520","$1,590","$1,590","$1,450","$1,510","$1,490","$1,470","$1,400","$1,450","$1,600","$1,580","$1,560","$1,570","$1,480"
