EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
693061,Shooting Permit,02/02/2023 10:00:00 AM,02/03/2023 01:00:00 AM,01/26/2023 12:57:45 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   14 STREET between 8 AVENUE and 7 AVENUE,  WEST   14 STREET between 7 AVENUE and 6 AVENUE,  W 14 ST between 6 AVENUE and UNIVERSITY PLACE,  5 AVENUE between EAST   13 STREET and EAST   12 STREET,  WEST   12 STREET between 6 AVENUE and 5 AVENUE,  5 AVENUE between EAST   13 STREET and EAST   12 STREET,  5 AVENUE between EAST   12 STREET and EAST   11 STREET,  EAST   11 STREET between 5 AVENUE and UNIVERSITY PLACE,  EAST   10 STREET between 5 AVENUE and UNIVERSITY PLACE,  EAST   12 STREET between 5 AVENUE and UNIVERSITY PLACE,  UNIVERSITY PLACE between EAST   13 STREET and EAST   12 STREET,  WEST   11 STREET between 6 AVENUE and 5 AVENUE,  WEST    8 STREET between 5 AVENUE and MACDOUGAL STREET",Manhattan,"2, 4, 5","10, 13, 6",Television,Episodic series,United States of America,"10003, 10011"
693056,Shooting Permit,01/31/2023 06:00:00 AM,01/31/2023 09:00:00 PM,01/26/2023 12:46:59 PM,"Mayor's Office of Film, Theatre & Broadcasting","MONITOR STREET between GREENPOINT AVENUE and NORMAN AVENUE,  KINGSLAND AVENUE between GREENPOINT AVENUE and NORMAN AVENUE",Brooklyn,1,94,Television,Episodic series,United States of America,11222
693054,Shooting Permit,02/01/2023 07:00:00 AM,02/01/2023 11:00:00 PM,01/26/2023 12:43:11 PM,"Mayor's Office of Film, Theatre & Broadcasting",KINGSLAND AVENUE between GREENPOINT AVENUE and DEAD END,Brooklyn,1,94,Television,Cable-episodic,United States of America,11222
693051,Shooting Permit,01/28/2023 06:00:00 AM,01/29/2023 11:00:00 AM,01/26/2023 12:30:33 PM,"Mayor's Office of Film, Theatre & Broadcasting",LAFAYETTE STREET between EAST    4 STREET and ASTOR PLACE,Manhattan,2,9,Commercial,Promo,United States of America,10003
693041,Shooting Permit,01/30/2023 05:30:00 AM,01/30/2023 09:00:00 PM,01/26/2023 12:01:34 PM,"Mayor's Office of Film, Theatre & Broadcasting","WEST   12 STREET between WEST FOURTH STREET and GREENWICH AVENUE,  GREENWICH AVENUE between 7 AVENUE and HORATIO STREET,  HORATIO STREET between 8 AVENUE and GREENWICH STREET,  8 AVENUE between HORATIO STREET and JANE STREET,  WEST   12 STREET between WEST    4 STREET and 8 AVENUE,  8 AVENUE between WEST   12 STREET and BLEECKER STREET",Manhattan,2,6,Television,Episodic series,United States of America,"10011, 10014"
693040,Theater Load in and Load Outs,02/23/2023 06:00:00 AM,02/24/2023 05:30:00 AM,01/26/2023 12:00:39 PM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY,  BROADWAY between WEST   74 STREET and WEST   75 STREET",Manhattan,7,20,Theater,Theater,United States of America,10023
693038,Theater Load in and Load Outs,02/19/2023 06:00:00 AM,02/20/2023 06:00:00 AM,01/26/2023 11:59:49 AM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY,  BROADWAY between WEST   74 STREET and WEST   75 STREET",Manhattan,7,20,Theater,Theater,United States of America,10023
693037,Theater Load in and Load Outs,02/03/2023 06:00:00 AM,02/05/2023 06:00:00 AM,01/26/2023 11:59:14 AM,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY,  BROADWAY between WEST   74 STREET and WEST   75 STREET",Manhattan,7,20,Theater,Theater,United States of America,10023
693030,Shooting Permit,01/28/2023 06:00:00 AM,01/28/2023 11:00:00 PM,01/26/2023 11:41:19 AM,"Mayor's Office of Film, Theatre & Broadcasting",GRAND STREET between VANDERVOORT AVENUE and MORGAN AVENUE,Brooklyn,1,90,Commercial,Promo,United States of America,11211
693029,Shooting Permit,01/31/2023 04:30:00 AM,01/31/2023 11:00:00 AM,01/26/2023 11:37:22 AM,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
